real12,pred12,real3,pred3
8.0,11.062927,6.0,9.715212
13.0,10.213837,11.0,10.725544
8.0,8.71163,20.0,9.858097
17.0,8.385279,12.0,9.74144
7.0,9.13096,12.0,8.923811
5.0,7.448004,9.0,7.452839
7.0,7.5631943,8.0,8.020454
8.0,7.5797825,9.0,7.4264297
13.0,6.8833427,9.0,6.797743
10.0,7.0167847,8.0,8.263151
7.0,7.7361927,13.0,8.111944
5.0,7.978382,8.0,8.87887
7.0,8.662266,17.0,9.100752
20.0,9.271343,7.0,7.5105457
13.0,9.276892,5.0,8.054714
10.0,9.642317,7.0,7.187916
7.0,8.527309,8.0,7.7120132
8.0,8.011986,13.0,9.05603
11.0,9.029552,10.0,8.715586
13.0,10.000744,7.0,7.358032
7.0,9.9111595,5.0,6.694475
9.0,9.821989,7.0,8.037222
10.0,9.536839,20.0,9.168108
10.0,9.101809,13.0,9.601978
12.0,10.415974,10.0,8.735052
10.0,9.6529255,7.0,7.7060337
13.0,9.495903,8.0,8.824945
10.0,8.642986,11.0,9.23564
13.0,9.340197,13.0,9.036535
6.0,10.809801,7.0,9.725277
9.0,11.207804,9.0,9.435043
19.0,10.478666,10.0,9.312656
8.0,11.006498,10.0,10.81381
9.0,11.104202,12.0,10.517487
15.0,11.996565,10.0,10.523684
17.0,12.828323,13.0,10.20627
14.0,12.391733,10.0,10.112602
12.0,12.546598,13.0,10.557421
25.0,14.878315,6.0,10.0362015
18.0,18.925045,9.0,9.733379
25.0,20.343384,19.0,9.942511
24.0,20.506866,8.0,9.622986
25.0,22.518412,9.0,10.521784
26.0,22.075985,15.0,13.677099
27.0,24.226025,17.0,15.645302
31.999998,24.990667,14.0,15.285931
26.0,26.266575,12.0,18.56128
25.0,26.180645,25.0,21.302704
29.999998,27.132061,18.0,22.537159
48.0,26.990274,25.0,23.270397
75.0,27.954796,24.0,23.841732
75.0,28.352287,25.0,24.80656
17.0,27.54648,26.0,26.71684
25.0,25.55617,27.0,27.750496
25.0,25.425102,31.999998,29.201178
23.0,24.487518,26.0,29.70441
26.0,24.547005,25.0,29.980785
25.0,24.737217,29.999998,30.118938
23.0,25.596891,48.0,31.282642
25.0,24.27356,75.0,30.770123
27.0,23.036469,75.0,30.184088
25.0,25.6235,17.0,26.723213
25.0,24.536648,25.0,23.649723
21.0,22.859373,25.0,26.219536
22.0,21.650425,23.0,25.222292
25.0,20.384209,26.0,24.805431
17.0,19.185806,25.0,25.690304
18.0,20.907824,23.0,25.442589
24.0,20.573467,25.0,25.332148
20.0,20.541546,27.0,25.158855
26.0,19.890339,25.0,25.303999
19.0,19.314308,25.0,24.540104
17.0,19.341888,21.0,23.759895
22.0,18.479221,22.0,24.213715
16.0,17.792439,25.0,23.825003
17.0,16.825766,17.0,23.27391
17.0,16.861946,18.0,23.161358
17.0,16.443727,24.0,22.198565
18.0,17.51078,20.0,21.858604
18.0,17.262596,26.0,19.721247
18.0,17.869457,19.0,19.901688
24.0,19.274345,17.0,19.27604
18.0,18.59209,22.0,18.585957
17.0,18.223879,16.0,17.807817
15.0,18.066563,17.0,16.836267
20.0,18.376348,17.0,18.482822
22.0,19.159061,17.0,18.331638
16.0,19.462341,18.0,18.033058
19.0,20.348465,18.0,18.72158
21.0,21.472023,18.0,18.350521
29.0,21.716469,24.0,18.317398
28.0,21.762835,18.0,18.524233
27.0,21.622952,17.0,18.873148
20.0,20.307236,15.0,19.445595
23.0,20.380024,20.0,20.249348
15.0,20.013638,22.0,20.088886
17.0,19.5345,16.0,19.644812
19.0,19.325378,19.0,20.58615
25.0,18.13609,21.0,21.195599
17.0,18.540115,29.0,21.238285
22.0,17.57049,28.0,21.146915
13.0,16.484005,27.0,21.337063
15.0,15.773157,20.0,20.514265
18.0,14.917189,23.0,19.744263
15.0,15.795931,15.0,17.36092
9.0,15.19042,17.0,17.909407
14.0,14.674185,19.0,18.719461
15.0,13.982918,25.0,18.038052
10.0,13.261972,17.0,16.892365
13.0,12.441416,22.0,16.905426
9.0,11.529087,13.0,14.752148
14.0,12.776232,15.0,15.507702
12.0,13.274879,18.0,15.39953
12.0,12.590664,15.0,15.192932
16.0,12.312597,9.0,13.48822
18.0,12.984104,14.0,13.227577
12.0,12.499189,15.0,13.780235
9.0,10.49445,10.0,12.186003
13.0,9.537556,13.0,12.521172
9.0,8.718569,9.0,12.138712
7.0,7.9875584,14.0,12.39488
12.0,8.253014,12.0,12.089481
10.0,8.349215,12.0,12.353598
12.0,8.569023,16.0,12.582018
9.0,8.585611,18.0,12.40695
11.0,9.614677,12.0,12.490448
14.0,9.847855,9.0,11.371597
11.0,10.055342,13.0,10.103523
11.0,10.445864,9.0,8.989456
8.0,8.138721,7.0,7.1952934
9.0,9.729059,12.0,7.397459
8.0,9.684256,10.0,8.750992
9.0,10.182026,12.0,11.3485565
10.0,9.897764,9.0,11.328697
8.0,9.879499,11.0,11.1189575
12.0,10.182043,14.0,10.818041
12.0,10.828629,11.0,9.4278755
8.0,11.48727,11.0,8.791822
14.0,12.391275,8.0,7.548422
16.0,14.061176,9.0,7.377857
22.0,15.760944,8.0,7.8507614
24.0,16.484179,9.0,7.886343
21.0,18.37867,10.0,8.157286
25.0,19.154928,8.0,8.669476
27.0,20.497143,12.0,9.314884
25.0,21.841545,12.0,9.737131
24.0,22.618723,8.0,11.406759
23.0,24.99785,14.0,13.130215
29.0,25.538076,16.0,15.768751
29.999998,25.952927,22.0,18.44441
28.0,26.882362,24.0,20.685493
25.0,25.54811,21.0,21.366802
28.0,26.316149,25.0,24.513409
21.0,25.316175,27.0,25.025938
26.0,25.127558,25.0,24.602594
28.0,24.859211,24.0,24.12288
28.0,24.057085,23.0,25.569006
11.0,24.101397,29.0,26.438887
25.0,24.022682,29.999998,27.044462
24.0,24.715368,28.0,26.727987
24.0,24.935268,25.0,26.542488
29.0,25.201889,28.0,26.129103
34.0,24.772453,21.0,27.615358
22.0,24.198109,26.0,27.129261
26.0,25.450586,28.0,26.426756
31.999998,25.208836,28.0,26.491123
24.0,25.057629,11.0,25.674625
27.0,25.108246,25.0,24.835842
23.0,24.77119,24.0,25.857334
21.0,21.39012,24.0,23.85418
27.0,21.95633,29.0,26.213564
20.0,21.097424,34.0,24.375208
20.0,20.996773,22.0,25.022419
24.0,21.879562,26.0,26.382381
26.0,22.894165,31.999998,26.74444
18.0,24.958878,24.0,26.802885
19.0,27.319939,27.0,25.599241
38.0,27.94864,23.0,24.80235
36.0,30.911179,21.0,23.362606
35.0,31.88555,27.0,22.654232
28.0,32.715122,20.0,22.714535
41.0,31.771404,20.0,24.599953
33.0,31.143524,24.0,24.45311
67.0,31.115154,26.0,25.452091
58.0,30.123512,18.0,26.511528
44.0,29.697306,19.0,26.446615
26.0,28.462645,38.0,27.232876
19.0,28.578606,36.0,28.15758
21.0,27.020786,35.0,27.928837
26.0,25.230505,28.0,31.423428
22.0,24.965559,41.0,33.267548
25.0,23.786285,33.0,36.911976
20.0,23.90763,67.0,38.50146
24.0,22.822105,58.0,38.494392
29.999998,24.77028,44.0,34.091854
26.0,20.375147,26.0,26.373314
22.0,20.215225,19.0,25.395039
20.0,16.603369,21.0,22.935125
21.0,16.84293,26.0,24.07078
26.0,21.379517,22.0,25.135063
20.0,23.907658,25.0,23.531155
27.0,23.511534,20.0,20.95338
22.0,23.793081,24.0,21.616985
35.0,23.51762,29.999998,22.388699
23.0,23.156574,26.0,22.600414
17.0,22.127745,22.0,23.243992
21.0,21.760698,20.0,23.235115
28.0,22.666859,21.0,24.266373
29.0,22.126312,26.0,24.52273
20.0,21.632229,20.0,24.405146
19.0,21.23647,27.0,24.157108
21.0,20.889633,22.0,23.150831
25.0,21.168596,35.0,23.076084
19.0,20.590042,23.0,23.178827
22.0,20.910666,17.0,23.189344
14.0,19.480408,21.0,25.601456
21.0,21.052715,28.0,24.328428
23.0,19.769714,29.0,22.532896
15.0,19.522484,20.0,23.383562
19.0,19.276455,19.0,21.524006
25.0,20.024153,21.0,21.071493
26.0,22.358658,25.0,21.068363
22.0,22.520721,19.0,22.087063
22.0,22.768879,22.0,22.123297
23.0,22.247292,14.0,20.645649
23.0,22.281982,21.0,20.396133
23.0,21.863194,23.0,20.05912
27.0,21.88477,15.0,22.575592
14.0,21.382324,19.0,23.2325
23.0,22.011345,25.0,24.079979
24.0,22.359184,26.0,25.878784
19.0,21.915985,22.0,21.589857
23.0,21.572237,22.0,23.526752
21.0,20.998642,23.0,23.839432
17.0,19.949318,23.0,23.245323
18.0,19.708315,23.0,23.266373
22.0,20.88937,27.0,23.133999
27.0,21.672594,14.0,23.119015
27.0,21.897064,23.0,23.856056
30.999998,22.8811,24.0,23.558975
24.0,20.30756,19.0,24.042019
21.0,20.362059,23.0,24.2098
14.0,20.560116,21.0,22.66029
14.0,19.906765,17.0,24.376152
9.0,19.44639,18.0,24.115368
24.0,19.834202,22.0,24.218304
19.0,20.672188,27.0,25.085388
24.0,21.434048,27.0,25.894194
25.0,21.702871,30.999998,25.02126
22.0,21.835857,24.0,23.970161
15.0,21.714617,21.0,22.034016
22.0,21.455734,14.0,19.3083
23.0,21.256092,14.0,18.224438
22.0,21.47699,9.0,19.123608
15.0,21.383352,24.0,21.604095
19.0,21.738892,19.0,23.178766
25.0,22.712265,24.0,23.109081
24.0,22.703396,25.0,23.497156
19.0,22.248064,22.0,22.9843
22.0,19.855188,15.0,23.41451
14.0,17.837425,22.0,23.04092
12.0,16.020353,23.0,22.587036
16.0,14.182613,22.0,21.584314
21.0,16.257925,15.0,22.527248
26.0,18.931658,19.0,23.080631
21.0,20.445353,25.0,22.392042
12.0,18.44149,24.0,22.234165
15.0,18.46761,19.0,21.943241
14.0,19.548643,22.0,20.576939
16.0,19.749859,14.0,18.432686
23.0,18.279324,12.0,18.399448
24.0,18.07328,16.0,17.991684
21.0,18.230703,21.0,19.708096
22.0,18.91513,26.0,19.618519
18.0,20.328257,21.0,18.432323
19.0,19.65314,12.0,17.71312
20.0,19.569767,15.0,16.189041
20.0,19.446249,14.0,16.500263
17.0,16.899708,16.0,18.298
17.0,15.77199,23.0,18.231403
15.0,16.66464,24.0,18.127432
18.0,17.932133,21.0,19.605644
21.0,18.471478,22.0,19.171902
25.0,19.204702,18.0,18.244621
24.0,18.764706,19.0,17.138834
24.0,18.649967,20.0,18.359037
14.0,18.671925,20.0,17.99306
16.0,20.06819,17.0,17.762716
21.0,20.974354,17.0,17.556381
22.0,21.180443,15.0,17.364685
17.0,20.280678,18.0,18.06669
24.0,20.08933,21.0,18.875393
21.0,19.727833,25.0,20.077183
16.0,20.522808,24.0,20.43982
21.0,20.991192,24.0,19.608389
17.0,21.24953,14.0,18.754622
22.0,21.62344,16.0,19.491755
25.0,21.086979,21.0,20.032646
25.0,21.690735,22.0,20.805037
26.0,22.93351,17.0,21.977776
26.0,23.83593,24.0,20.879549
24.0,24.711353,21.0,19.99538
22.0,24.794119,16.0,20.465282
22.0,23.86382,21.0,19.37115
21.0,22.325558,17.0,20.65006
21.0,21.89777,22.0,22.767471
22.0,21.432287,25.0,23.499403
24.0,21.985378,25.0,23.508337
15.0,22.102684,26.0,22.591091
13.0,18.842955,26.0,21.78384
19.0,17.271488,24.0,21.584846
12.0,14.832531,22.0,22.10968
16.0,14.77301,22.0,22.615719
16.0,15.472662,21.0,22.195438
18.0,17.223448,21.0,19.8746
18.0,18.288694,22.0,18.249378
21.0,18.911308,24.0,18.522419
18.0,19.695942,15.0,19.140047
20.0,19.427694,13.0,19.268795
14.0,17.819035,19.0,18.8763
14.0,17.53144,12.0,18.475996
12.0,16.143812,16.0,16.270311
19.0,16.2866,16.0,18.448008
10.0,14.970339,18.0,17.870243
22.0,14.502089,18.0,18.07361
15.0,13.381056,21.0,17.578522
12.0,12.306295,18.0,16.249924
9.0,10.340773,20.0,15.810068
9.0,9.366896,14.0,14.156931
11.0,9.179346,14.0,13.271343
13.0,10.728069,12.0,12.544472
9.0,10.906588,19.0,12.325321
9.0,11.520124,10.0,12.949591
11.0,12.199335,22.0,13.617828
18.0,12.761471,15.0,12.322128
17.0,12.130054,12.0,12.643944
15.0,12.084333,9.0,9.214029
9.0,10.0236,9.0,9.2619705
9.0,7.648138,11.0,9.267433
9.0,8.202196,13.0,8.903381
12.0,10.382191,9.0,10.390234
18.0,13.572613,9.0,11.324438
10.0,13.597803,11.0,10.924303
12.0,12.683588,18.0,11.609037
11.0,11.708075,17.0,11.546528
15.0,12.4637985,15.0,10.688461
11.0,11.548435,9.0,8.076134
11.0,9.055183,9.0,8.416159
10.0,10.06929,9.0,9.667576
8.0,9.071665,12.0,10.652071
10.0,9.790081,18.0,10.305317
13.0,12.533438,10.0,10.960396
16.0,12.854738,12.0,11.419918
12.0,9.904512,11.0,11.11194
8.0,9.086267,15.0,10.98028
6.0,7.9455605,11.0,9.945021
8.0,8.528168,11.0,9.774635
6.0,8.969334,10.0,9.475317
11.0,9.011929,8.0,10.263912
9.0,9.3594475,10.0,10.748291
9.0,9.793846,13.0,11.09664
17.0,10.5674515,16.0,10.899681
16.0,10.960091,12.0,9.805975
15.0,10.2270565,8.0,7.9986496
8.0,10.02865,6.0,6.905895
7.0,10.36537,8.0,8.414989
10.0,10.282228,6.0,8.778109
9.0,10.520935,11.0,9.076403
11.0,11.649042,9.0,9.139002
13.0,12.523592,9.0,10.670237
4.0,11.233953,17.0,9.59514
8.0,10.85582,16.0,9.498524
19.0,10.547724,15.0,9.354435
6.0,9.3609085,8.0,7.003916
5.0,8.338844,7.0,7.2396297
7.0,8.7127285,10.0,9.697647
9.0,8.344952,9.0,8.894161
14.0,9.259262,11.0,8.691307
21.0,10.520277,13.0,8.069635
7.0,11.818083,4.0,8.290409
9.0,12.010418,8.0,7.970333
13.0,11.530575,19.0,7.259863
14.0,12.16861,6.0,7.2224865
20.0,12.672031,5.0,6.6419106
10.0,12.330236,7.0,6.3542175
12.0,12.889353,9.0,8.827297
12.0,13.386442,14.0,8.743111
16.0,13.539003,21.0,9.341663
20.0,13.565641,7.0,9.77454
14.0,13.149914,9.0,10.214748
9.0,13.3859005,13.0,11.792837
22.0,13.938133,14.0,14.413889
16.0,13.129686,20.0,13.060457
7.0,12.938553,10.0,12.656778
8.0,13.189377,12.0,13.029741
14.0,12.711376,12.0,13.977871
12.0,13.046593,16.0,15.994684
17.0,13.098948,20.0,15.311897
13.0,13.996727,14.0,15.610861
12.0,14.565178,9.0,14.456461
43.0,19.28923,22.0,13.039934
47.0,26.644005,16.0,11.993965
26.0,27.406652,7.0,12.042994
28.0,23.091969,8.0,12.654444
22.0,22.45663,14.0,13.03952
23.0,22.707443,12.0,14.758606
25.0,23.018723,17.0,15.547934
21.0,23.289299,13.0,15.245401
25.0,22.211357,12.0,17.684088
25.0,21.733837,43.0,26.681229
20.0,22.111324,47.0,29.24724
21.0,21.14616,26.0,28.929781
27.0,23.903934,28.0,25.341116
24.0,24.547325,22.0,26.318882
27.0,26.10055,23.0,24.551952
25.0,25.824041,25.0,24.02668
22.0,25.918184,21.0,24.461704
21.0,24.310593,25.0,25.25866
16.0,23.09758,25.0,24.205948
27.0,20.820526,20.0,23.971865
25.0,21.165287,21.0,24.085762
20.0,20.839256,27.0,23.522102
20.0,20.37292,24.0,23.860321
17.0,20.194565,27.0,23.72932
19.0,19.727509,25.0,22.433393
28.0,18.829575,22.0,22.131329
15.0,17.79005,21.0,22.196548
17.0,16.622225,16.0,21.35776
18.0,17.279427,27.0,20.74849
18.0,17.741318,25.0,21.964134
18.0,17.808113,20.0,21.418982
26.0,19.6488,20.0,20.957397
9.0,20.395264,17.0,20.814535
16.0,19.901184,19.0,19.013552
23.0,19.85682,28.0,18.021374
15.0,20.879345,15.0,17.911186
28.0,21.4059,17.0,18.632599
16.0,23.66942,18.0,19.675724
23.0,23.698357,18.0,18.744843
23.0,23.175726,18.0,17.808952
25.0,24.111729,26.0,18.569784
24.0,24.104912,9.0,18.692667
14.0,23.942205,16.0,19.059082
20.0,23.390461,23.0,20.47031
13.0,19.725239,15.0,19.262062
16.0,19.316875,28.0,20.806343
15.0,20.01976,16.0,22.787815
14.0,17.792896,23.0,22.68423
12.0,16.450218,23.0,23.313644
12.0,15.529737,25.0,22.056911
17.0,16.710554,24.0,20.416088
22.0,18.58524,14.0,18.490889
21.0,18.373264,20.0,18.272827
13.0,19.353903,13.0,18.096039
14.0,16.922863,16.0,16.607683
25.0,17.621223,15.0,15.814028
25.0,17.320127,14.0,14.538071
12.0,17.411354,12.0,14.594843
16.0,17.596058,12.0,14.816183
18.0,17.635593,17.0,15.3335495
11.0,17.920713,22.0,16.704561
15.0,17.73813,21.0,17.931154
18.0,17.787907,13.0,16.174835
12.0,17.096819,14.0,15.47205
13.0,17.393711,25.0,16.483213
20.0,16.434305,25.0,15.370338
15.0,17.688374,12.0,15.124966
14.0,18.58783,16.0,14.517735
17.0,19.079147,18.0,14.641451
18.0,18.285847,11.0,14.431316
19.0,19.098398,15.0,14.459732
19.0,20.10548,18.0,12.964714
17.0,19.952457,12.0,14.132067
25.0,20.89775,13.0,13.640148
22.0,20.590591,20.0,13.844347
18.0,20.35394,15.0,14.138588
27.0,20.567533,14.0,14.689362
24.0,20.847109,17.0,15.413998
16.0,19.999151,18.0,17.02446
17.0,18.78886,19.0,17.328453
18.0,19.815668,19.0,18.196617
23.0,20.618816,17.0,18.518906
27.0,21.067913,25.0,18.791624
21.0,21.602886,22.0,17.815628
20.0,21.833838,18.0,17.648518
21.0,23.736013,27.0,17.19826
22.0,24.188011,24.0,17.06794
25.0,25.066828,16.0,18.04868
24.0,25.55086,17.0,18.23494
20.0,24.8489,18.0,18.882244
12.0,25.244242,23.0,20.17049
27.0,24.70748,27.0,21.966553
25.0,23.931381,21.0,20.881779
23.0,23.437046,20.0,20.456085
19.0,22.434692,21.0,21.703121
21.0,21.18219,22.0,25.16896
20.0,20.977867,25.0,24.802584
21.0,21.195986,24.0,24.22254
13.0,20.671318,20.0,23.650639
17.0,17.82669,12.0,23.316275
19.0,16.905825,27.0,23.90082
15.0,16.884974,25.0,23.73707
23.0,16.462044,23.0,22.079723
21.0,17.82742,19.0,21.574352
26.0,17.277891,21.0,19.611805
16.0,18.375248,20.0,19.824043
12.0,17.3214,21.0,19.866913
12.0,16.73404,13.0,18.295458
18.0,17.153198,17.0,18.082232
14.0,17.142004,19.0,17.279968
15.0,16.013367,15.0,18.00775
8.0,16.073242,23.0,18.266153
16.0,14.755571,21.0,16.494133
14.0,12.84709,26.0,15.031923
9.0,11.78026,16.0,12.933641
8.0,10.661058,12.0,12.163019
9.0,10.24576,12.0,12.076611
15.0,9.590874,18.0,12.568201
12.0,10.646387,14.0,12.166607
10.0,15.016726,15.0,13.045706
8.0,12.984823,8.0,14.070692
11.0,12.421476,16.0,13.277407
10.0,11.74464,14.0,12.096548
9.0,10.601484,9.0,10.582249
13.0,11.859716,8.0,9.00622
12.0,12.184889,9.0,8.844917
15.0,13.49605,15.0,9.839041
12.0,14.619398,12.0,10.722734
19.0,16.701056,10.0,10.860197
16.0,16.272116,8.0,8.992683
18.0,15.991171,11.0,9.702543
12.0,14.206415,10.0,11.158064
13.0,13.950588,9.0,11.884666
11.0,15.914499,13.0,11.661581
12.0,16.143272,12.0,11.8169365
23.0,16.144075,15.0,12.549902
15.0,15.917368,12.0,12.4261055
15.0,15.881281,19.0,12.86236
17.0,15.940636,16.0,13.477749
11.0,15.479334,18.0,13.724073
20.0,14.819794,12.0,14.364824
12.0,14.427139,13.0,14.719915
10.0,13.820608,11.0,13.396143
9.0,11.205214,12.0,12.764425
7.0,10.476795,23.0,11.749937
5.0,9.55168,15.0,12.328621
9.0,9.155991,15.0,12.429914
8.0,9.436171,17.0,12.598688
10.0,9.975588,11.0,14.2080765
8.0,9.69121,20.0,13.516739
8.0,9.369377,12.0,12.536011
8.0,8.292999,10.0,11.040243
10.0,8.843298,9.0,9.89378
8.0,8.789421,7.0,8.588467
11.0,8.931837,5.0,7.684181
7.0,9.171141,9.0,7.2494793
11.0,9.800926,8.0,7.4089355
11.0,9.738649,10.0,6.912792
9.0,9.748695,8.0,6.375992
8.0,9.216837,8.0,6.3275375
8.0,8.833612,8.0,7.3732815
9.0,8.840258,10.0,8.154881
9.0,9.011663,8.0,7.6347923
10.0,9.714766,11.0,8.086254
15.0,10.626148,7.0,8.202311
8.0,11.6220455,11.0,8.293713
12.0,12.40654,11.0,8.297455
15.0,12.764385,9.0,8.421656
13.0,13.025551,8.0,8.490501
12.0,12.638771,8.0,9.026056
12.0,11.995916,9.0,9.387922
15.0,11.258493,9.0,9.946554
14.0,10.842123,10.0,10.533667
9.0,10.738001,15.0,11.180613
9.0,10.713697,8.0,11.975214
9.0,10.429695,12.0,12.372911
10.0,10.677116,15.0,13.046877
7.0,9.402769,13.0,13.039211
11.0,8.892122,12.0,12.291838
9.0,9.293957,12.0,12.00337
5.0,9.553272,15.0,11.761417
18.0,14.240917,14.0,11.030001
24.0,20.89882,9.0,10.626825
28.0,24.87571,9.0,9.913301
36.0,26.018013,9.0,9.066435
27.0,25.790688,10.0,9.9700165
20.0,23.039022,7.0,8.956266
23.0,23.192581,11.0,7.7097855
26.0,22.972336,9.0,9.070793
21.0,22.202137,5.0,15.271677
22.0,22.321321,18.0,22.86185
27.0,23.024643,24.0,24.897919
22.0,21.755497,28.0,23.731556
